Rank,Institution,Conference,Division,Total_Points,Winter_Total ,Fall_Total
89,Miami (OH),MAC,FBS,140,50,90
90,North Dakota State,Summit,FCS,138.5,85.5,53
91,Tulane,American,FBS,137,0,137
92,Akron,MAC,FBS,136,63,73
93,Cincinnati,Big 12,FBS,135,82,53
93,Denver,Summit,DI,135,85,50
95,New Hampshire,America East,FCS,133,63,70
95,Saint Louis,Atlantic 10,DI,133,50,83
97,South Dakota,Summit,FCS,129.25,59.25,70
98,Stephen F. Austin,Southland,FCS,127,5,122
99,California Baptist,WAC,DI,124,50,74
100,Western Michigan,MAC,FBS,120,0,120
101,UC San Diego,Big West,DI,118,118,0
102,Sacred Heart,MAAC,FCS,117,92,25
103,LIU Brooklyn,NEC,FCS,116,91,25
104,UTSA,American,FBS,113.5,43.5,70
105,Georgia Tech,ACC,FBS,111,36,75
106,Furman,SoCon,FCS,108,25,83
106,Montana,Big Sky,FCS,108,0,108
108,Liberty,Conference USA,FBS,104.5,34.5,70
109,Boise State,Mountain West,FBS,104,0,104
110,Portland,WCC,DI,100,0,100
110,Texas State,Sun Belt,FBS,100,30,70
112,Cal Poly,Big West,FCS,99.5,10.5,89
113,Eastern Kentucky,ASUN,FCS,98,29,69
114,Dartmouth,Ivy League,FCS,97,72,25
115,Fairfield,MAAC,DI,95,25,70
115,UC Davis,Big West,FCS,95,0,95
117,Butler,Big East,FCS,92.5,34,58.5
118,Nevada,Mountain West,FBS,92,92,0
119,Illinois State,Missouri Valley,FCS,90,0,90
120,Hofstra,CAA,DI,89,25,64
120,Utah Valley,WAC,DI,89,39,50
122,Northeastern,CAA,DI,83,83,0
123,James Madison,Sun Belt,FBS,79,25,54
124,Mississippi State,SEC,FBS,78,0,78
124,Rhode Island,Atlantic 10,FCS,78,25,53
124,Toledo,MAC,FBS,78,0,78
127,Lipscomb,ASUN,DI,77,0,77
128,American,Patriot,DI,75.5,50.5,25
129,Delaware,Conference USA,FBS,75,30,45
129,Gonzaga,WCC,DI,75,75,0
129,Memphis,American,FBS,75,0,75
129,Presbyterian,Big South,FCS,75,75,0
129,San Diego,WCC,FCS,75,0,75
129,South Florida,American,FBS,75,25,50
129,Xavier,Big East,DI,75,0,75
136,Lindenwood,OVC,FCS,74,49,25
137,Creighton,Big East,DI,73,0,73
138,Ohio,MAC,FBS,72,27,45
139,Samford,SoCon,FCS,70.5,45.5,25
140,Arkansas State,Sun Belt,FBS,70,0,70
140,Hawaii,Big West,FBS,70,25,45
140,Western Kentucky,Conference USA,FBS,70,0,70
143,Providence,Big East,DI,69,0,69
144,Kennesaw State,Conference USA,FBS,68.5,43.5,25
145,Brown,Ivy League,FCS,67,67,0
146,Southern Mississippi,Sun Belt,FBS,65.5,40.5,25
147,Georgia Southern,Sun Belt,FBS,65,20,45
148,Wyoming,Mountain West,FBS,64.5,64.5,0
149,Bryant,America East,FCS,64,0,64
149,Grand Canyon,Mountain West,DI,64,0,64
149,North Carolina Greensboro,SoCon,DI,64,0,64
149,Rutgers,Big Ten,FBS,64,64,0
153,East Carolina,American,FBS,62,45,17
153,Fresno State,Mountain West,FBS,62,45,17
155,Quinnipiac,MAAC,DI,60,0,60
156,Wagner,NEC,FCS,59,0,34
157,Drexel,CAA,DI,57.5,32.5,25
158,North Texas,American,FBS,56,11,45
158,Oregon State,Pac-12,FBS,56,31,25
160,Fordham,Atlantic 10,FCS,55,0,55
161,Colorado State,Mountain West,FBS,54,54,0
162,Abilene Christian,WAC,FCS,53,0,53
162,Mercer,SoCon,FCS,53,0,53
162,North Dakota,Summit,FCS,53,0,53
165,Arkansas Little Rock,OVC,DI,52,52,0
165,Loyola Chicago,Atlantic 10,DI,52,0,52
165,Tulsa,American,FBS,52,0,52
165,Arkansas Little Rock,OVC,DI,52,52,0
168,NJIT,America East,DI,51,0,51
169,Elon,CAA,FCS,50,0,50
169,Fairleigh Dickinson,NEC,DI,50,25,25
169,Howard,MEAC,FCS,50,0,50
169,Idaho,Big Sky,FCS,50,0,50
169,Marquette,Big East,DI,50,0,50
169,Marshall,Sun Belt,FBS,50,0,50
169,Missouri State,Conference USA,FBS,50,25,25
169,Prairie View A&M,SWAC,FCS,50,25,50
169,Rice,American,FBS,50,0,50
