Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
,,,,Final,,W. CC,M. CC,,W. FH,,FBS FB,,FCS FB,,W. SOC,,M. SOC,,W. VB,,,M. WP
Rank,Institution,Conference,Division,Fall,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
62,Boise State,Mountain West,FBS,104.00,22,52,33,27,0,0,54,25,0,0,0,0,0,0,0,0,0,0
64,Utah State,Mountain West,FBS,100.00,0,0,0,0,0,0,54,25,0,0,33,25,0,0,17,50,0,0
107,Grand Canyon,Mountain West,DI,64.00,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0
115,Air Force,Mountain West,FBS,54.00,0,0,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Fresno State,Mountain West,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,San Diego State,Mountain West,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,San Jose State,Mountain West,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,UNLV,Mountain West,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Central Connecticut State,NEC,FCS,25.00,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0
154,Fairleigh Dickinson,NEC,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
154,LIU Brooklyn,NEC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Wagner,NEC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
126,Tennessee Tech,OVC,FCS,50.00,0,0,0,0,0,0,0,0,17,25,33,25,0,0,0,0,0,0
154,Eastern Illinois,OVC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Lindenwood,OVC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
40,Washington State,Pac-12,FBS,149.00,27,47,17,57,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,Oregon State,Pac-12,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
70,Army West Point,Patriot,FBS,98.00,33,28,0,0,0,0,26,45,0,0,33,25,0,0,0,0,0,0
80,Navy,Patriot,FBS,78.00,0,0,33,27,0,0,23,51,0,0,0,0,0,0,0,0,0,0
117,Lehigh,Patriot,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
154,American,Patriot,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Boston University,Patriot,DI,25.00,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0
154,Lafayette,Patriot,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
10,Alabama,SEC,FBS,251.00,16,58.5,6,73.5,0,0,9,69,0,0,17,50,0,0,0,0,0,0
13,Texas A&M,SEC,FBS,240.50,31,43,33,27,0,0,8,70.5,0,0,0,0,0,0,1,100,0,0
31,Texas,SEC,FBS,163.00,0,0,33,27,0,0,13,63,0,0,0,0,0,0,5,73,0,0
32,Vanderbilt,SEC,FBS,161.00,33,28,0,0,0,0,15,60,0,0,5,73,0,0,0,0,0,0
39,Georgia,SEC,FBS,150.00,0,0,24,50,0,0,5,75,0,0,33,25,0,0,0,0,0,0
42,Tennessee,SEC,FBS,146.00,30,44,33,27,0,0,54,25,0,0,33,25,0,0,33,25,0,0
45,Kentucky,SEC,FBS,140.00,0,0,0,0,0,0,0,0,0,0,33,25,33,25,2,90,0,0
45,LSU,SEC,FBS,140.00,23,51,0,0,0,0,54,25,0,0,9,64,0,0,0,0,0,0
48,Ole Miss,SEC,FBS,137.00,0,0,22,52,0,0,3,85,0,0,0,0,0,0,0,0,0,0
51,Arkansas,SEC,FBS,134.00,33,28,18,56,0,0,0,0,0,0,17,50,0,0,0,0,0,0
53,Oklahoma,SEC,FBS,127.50,0,0,15,60,0,0,10,67.5,0,0,0,0,0,0,0,0,0,0
54,Florida,SEC,FBS,125.00,5,75,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0
77,South Carolina,SEC,FBS,85.00,15,60,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
80,Mississippi State,SEC,FBS,78.00,33,28,0,0,0,0,54,25,0,0,33,25,0,0,0,0,0,0
95,Missouri,SEC,FBS,71.00,28,46,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
78,Furman,SoCon,FCS,83.00,0,0,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0
107,North Carolina Greensboro,SoCon,DI,64.00,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0
117,Mercer,SoCon,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
154,Samford,SoCon,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,Wofford,SoCon,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
55,Stephen F. Austin,Southland,FCS,122.00,0,0,33,27,0,0,0,0,5,70,0,0,0,0,33,25,0,0
154,Houston Christian,Southland,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,Lamar,Southland,FCS,25.00,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0
